video_id,teks,teks_stem,skor_total,skor_positif,skor_negatif,n_kata_pos,n_kata_neg,label_otomatis,label_final
czY6MUhd1X0,"Semoga yang ngotot berbohong supaya dihancurkan bersama kebohongannya.
Dan orang yang jujur diselamatkan bersama kejujurannya.",moga ngotot bohong hancur bohong jujur selamat jujur,-10.0,6.0,-16.0,2.0,5.0,Negatif,Negatif
czY6MUhd1X0,Selalu bilang nanti akan di tunjukkan di Pengadilan tapi ga pernahau datang ke pengadilan.,bilang tunjuk adil pernahau adil,-6.0,0.0,-6.0,0.0,2.0,Negatif,Negatif
czY6MUhd1X0,Menghadapi pembohong lebih sulit dari pada kita menghadapi orang yg paling bodoh..,hadap bohong sulit hadap bodoh,-5.0,0.0,-5.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,"Klau bisa sulit kenapa dipermudah, klau bisa mudah ngapain dipersulit. Itulah Negarawan warga Konoha.",sulit mudah mudah kapai sulit negarawan warga konoha,-2.0,0.0,-2.0,0.0,2.0,Negatif,Negatif
czY6MUhd1X0,"Ya Allah ini perkara sebetulnya mudah, tapi dibikin sulit, kami memohon betul-betul memohon kepada Mu Ya Allah, tunjukkanlah yg bathil itu bathil dan yang benar itu benar. Amiin Yaa Robbal 'Aalamiin.",allah perkara mudah bikin sulit mohon mohon mu allah tunjuk bathil bathil robbal aalamiin,1.0,10.0,-9.0,2.0,4.0,Positif,Positif
czY6MUhd1X0,"Semakin lama Untuk menunjukan ijazah yg asli, semakin dalam orang tidak percaya",tunjuk ijazah asli percaya,4.0,4.0,0.0,2.0,0.0,Positif,Positif
czY6MUhd1X0,Org yg mersa bersalah..akan menutupi apapun utk pembenaran walau hrs berbobong tingkat tinggi...,mersa salah tutup apa benar berbobong tingkat tinggi,-14.0,1.0,-15.0,1.0,5.0,Negatif,Negatif
czY6MUhd1X0,"Betul kata ahli,penegak dan praktisi hukum perlu ada dan memakai moral dalam menegakkan hukum",ahli tegak praktisi hukum pakai moral tegak hukum,-2.0,4.0,-6.0,1.0,2.0,Negatif,Negatif
czY6MUhd1X0,Ya Allah azab lah pembohong dan para pelindung pembohong dalam kasus ini,allah azab bohong lindung bohong,-6.0,9.0,-15.0,2.0,3.0,Negatif,Negatif
czY6MUhd1X0,"Mau dibawa ke pengadilan ijazahnya , lha dipanggil ke pengadilan aja  mangkir terus",bawa adil ijazah panggil adil mangkir,-13.0,0.0,-13.0,0.0,5.0,Negatif,Negatif
czY6MUhd1X0,MENCARI LEGITIMASI PADA KEKUASAAN MEMBUAT RAKYAT SEMAKIN TIDAK PERCAYA.,cari legitimasi kuasa rakyat percaya,2.0,5.0,-3.0,2.0,1.0,Positif,Positif
czY6MUhd1X0,KEGADUHAN INI PASTI BERHENTI BILA DITEMPUH SECARA HUKUM BUKAN DIREKAYASA SECARA KEKUASAAN,gaduh henti tempuh hukum rekayasa kuasa,-4.0,3.0,-7.0,1.0,2.0,Negatif,Negatif
czY6MUhd1X0,Pantas untuk dinyinyirin jika ada MASALAH terhadap sesuatu yang banyak diragukan dan disorot masyarakat........!!!,dinyinyirin ragu sorot masyarakat,-3.0,0.0,-3.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,Rusak hukum negeri ini...orang jadi tersangka gara2 ijazah yg gak pernah ditunjukin sebagai alat bukti...ngeriiiiiiii hukum negeri ini,rusak hukum negeri sangka gara ijazah ditunjukin alat bukti ngeriiiiiiii hukum negeri,-20.0,0.0,-20.0,0.0,6.0,Negatif,Negatif
czY6MUhd1X0,Nonton di YouTube ajh jls itu bukan ijazah Jokowi 😂😂😂 apalagi liat langsung 🤦🤦,tonton youtube jls ijazah jokowi,-4.0,0.0,-4.0,0.0,1.0,Negatif,Negatif
czY6MUhd1X0,"Lulusan/memiliki ijazah UGM itu suatu kebanggaan, bila tak dianggap narsis semua pemilik ijazah UGM pasti sudah dipamerkan terlebih yg dipertanyakan pasti sdh disodorkan untuk diteliti itu pasti😮",lulus milik ijazah ugm bangga anggap narsis milik ijazah ugm pamer sodor teliti,7.0,10.0,-3.0,4.0,1.0,Positif,Positif
czY6MUhd1X0,"Dri masukan dri bang Rai & bang khoerudin ini sgt"" cocok & masuk akal 👍👍👍💪💪💪♥️",masuk rai khoerudin cocok akal,-6.0,0.0,-6.0,0.0,2.0,Negatif,Negatif
czY6MUhd1X0,"Betul setuju andaikan ijazahnya asli ya tdk perlu,...pakai pengacara dan kepolisian.",tuju andai ijazah asli pakai acara polisi,0.0,4.0,-4.0,2.0,1.0,Netral,Netral
czY6MUhd1X0,Andi Azwan ngomong apa itu....JD makin setia jadi herder nya Jokowi,andi azwan omong setia herder jokowi,-8.0,0.0,-8.0,0.0,2.0,Negatif,Negatif
czY6MUhd1X0,"Betapa bahaya'y mreka ini yg tau sudah salah , tp tetep di bela .. apa yg mreka cari ????
Jgn sampe org2 sperti mreka memimpin negri ini...bila perlu di musnahkan aja org2 yg jahat ini",betapa bahaya tau salah bela cari pimpin negeri musnah jahat,-21.0,4.0,-25.0,1.0,6.0,Negatif,Negatif
